clas_suelo;codigo_pit;lote_min;edif_bas;edif_max;altura_min;altura_max;implantac;f_min;r_frontal;r_lateral;r_posterio;cos_pb;cos_total;cos_total_c;u_principa
RURAL;ASR;2.500;2;;6;;AISLADA;≥30;5-10;----;----;3%;6%;;Producción agrícola (mediana y gran escala)
RURAL;AR1;1000;2;;6;;AISLADA;20;10;5;10;30%;60%;;Agropecuario residencial 1
RURAL;Z-PAP-VE;-----;-----;;-----;;-----;-----;-----;-----;-----;-----;-----;;Protección de Patrimonio Histórico y Cultural Emergente
RURAL;AAM;15.000;2;;6;;AISLADA;≥70;20;----;----;1%;2%;;Agricola-pecuario (baja escala)
RURAL;EQ;-----;-----;;-----;;-----;-----;-----;-----;-----;-----;-----;;Equipamiento de Educación
RURAL;AIE;-----;-----;;-----;;-----;-----;-----;-----;-----;-----;-----;;Explotación Minera de Amortiguamiento
RURAL;ZPPF;10.000;2;;6;;AISLADA;≥60;10;----;----;1%;2%;;Promoción y  producción forestal
RURAL;PRH;Prohibido el fraccionamiento. Art. 471. COOTAD;----;;----;;----;----;----;----;----;----;----;;Protección ecológica de recursos hídricos
RURAL;Z-PAP-1O;-----;-----;;-----;;-----;-----;-----;-----;-----;-----;-----;;Protección de Patrimonio Histórico y Cultural
RURAL;PETZ-DC;-----;-----;;-----;;-----;-----;-----;-----;-----;-----;-----;;Protección de Patrimonio Histórico y Cultural
RURAL;PETZ-ZM-SZA;-----;-----;;-----;;-----;-----;-----;-----;-----;-----;-----;;Protección de Patrimonio Histórico y Cultural
RURAL;Z-PAP-2O;-----;-----;;-----;;-----;-----;-----;-----;-----;-----;-----;;Protección de Patrimonio Histórico y Cultural
RURAL;PETZ-ZM-SZAE;-----;-----;;-----;;-----;-----;-----;-----;-----;-----;-----;;Protección de Patrimonio Histórico y Cultural
RURAL;ACR;10.000;2;;6;;AISLADA;≥60;10;----;----;1%;2%;;Producción agrícola  (baja y  mediana  escala)
RURAL;I2-I3-I4;20.000;10;;30-50;;AISLADA;100-120;15;10;10;70%;700%;;Industrial Mediano Impacto, Alto Impacto y Alto Riesgo
RURAL;PPHVN;Prohibido el fraccionamiento. Art. 471. COOTAD;----;;----;;----;----;----;----;----;----;----;;Protección ecológica integral
RURAL;AR2;500;2;;6;;AISLADA;15;5;3;5;40%;80%;;Agropecuario residencial 2
RURAL;AR3;200;2;;6;;PAREADA;9;5;3;5;45%;90%;;Agropecuario residencial 3
RURAL;AR4;180;3;;9;;CONTINUA SOBRE LINEA DE FABRICA;9;0;0;3;70%;210%;;Agropecuario residencial 4
RURAL;AR5;180;4;;12;;CONTINUA A LINEA DE FABRICA;9;0;0;3;80%;320%;;Agropecuario residencial 5
RURAL;AR6-VIS;130;3;;9;;CONTINUA CON RETIRO;7;2;0;3;70%;210%;;Agropecuario residencial 6
RURAL;CS;500;3;;9;;CONTINUA CON RETIRO;15;5;0;5;40%;120%;;Comercial Restringido
RURAL;I2;20.000;10;;30-50;;AISLADA;100-120;15;10;10;70%;700%;;Industrial Mediano Impacto
RURAL;CVE;1000;2;;6;;AISLADA;20;10;5;10;30%;60%;;Agropecuario de protección
